Publisher,Reuters,NewYorkTimes,People,CNBC,Vice,TheHill,CNN,Mashable,Reuters,The New York Times,People,CNBC,Vice,The Hill,CNN,Mashable,Reuters,The New York Times,People,CNBC,Vice,The Hill,CNN,Mashable,Reuters,The New York Times
TECH,0.428947368,0.110552764,0.019923372,0.570646221,0.213934426,0.12228361,0.034280118,0.46614786,0.542914573,0.125854214,0.022834646,0.580594679,0.222570533,0.121319617,0.041742287,0.542301184,0.50252996,0.145361991,0.017950636,0.577272727,0.279874214,0.105638587,0.063157895,0.636363636,0.309927361,0.115702479
COMEDY,0.011961722,0.082077052,0.034482759,0.014238773,0.036065574,0.006998158,0.009794319,0.1307393,0.010251256,0.024487472,0.025984252,0.005477308,0.02507837,0.015253636,0.013611615,0.101522843,0.010386152,0.005656109,0.009723261,0.000909091,0.014150943,0.004076087,0.012955466,0.059808612,0.008474576,0.007231405
COLLEGE,0.012440191,0.027638191,0.006130268,0.014238773,0.01557377,0.006998158,0.016650343,0.010116732,0.003819095,0.029612756,0.003149606,0.01799687,0.012539185,0.008513657,0.012704174,0.00676819,0.00665779,0.020361991,0.005235602,0.017272727,0.012578616,0.005095109,0.013765182,0.003588517,0.004842615,0.025826446
CULTUREARTS,0.083253589,0.606365159,0.262068966,0.108433735,1.230327869,0.056353591,0.136141038,0.429571984,0.064924623,0.706719818,0.345669291,0.093114241,1.142110763,0.062433487,0.137931034,0.417089679,0.068175766,0.698529412,0.258040389,0.084545455,0.855345912,0.06861413,0.123076923,0.321770335,0.101291364,0.646694215
DIVORCE,0.008133971,0.007118928,0.117241379,0.002190581,0.007377049,0,0.006856024,0.007003891,0.004422111,0.014806378,0.12519685,0.003912363,0.009404389,0.001418943,0.013611615,0.008460237,0.00665779,0.012443439,0.143605086,0.006363636,0.009433962,0.003736413,0.019433198,0.002392344,0.006860371,0.007231405
EDUCATION,0.011961722,0.056951424,0.033716475,0.019715225,0.033606557,0.013996317,0.049951028,0.016342412,0.015879397,0.082004556,0.028346457,0.021909233,0.051201672,0.028378858,0.029945554,0.015228426,0.015712383,0.084276018,0.029169783,0.039090909,0.053459119,0.039741848,0.059919028,0.019138756,0.00968523,0.082644628
ENTERTAINMENT,0.074880383,0.14279732,0.644444444,0.08652793,0.364754098,0.015469613,0.125367287,0.33307393,0.083819095,0.148063781,0.692913386,0.069640063,0.387669801,0.019510465,0.132486388,0.339255499,0.10252996,0.153846154,0.711293942,0.071818182,0.393081761,0.028872283,0.147368421,0.269138756,0.069814366,0.146694215
ENVIRONMENT,0.477990431,0.165829146,0.157088123,0.235487404,0.157377049,0.138121547,0.159647405,0.20155642,0.44361809,0.177107062,0.172440945,0.215179969,0.199582027,0.168144732,0.197822142,0.194585448,0.523834887,0.188348416,0.148840688,0.202727273,0.245283019,0.151154891,0.186234818,0.150717703,0.832929782,0.173553719
FOODDRINK,0.00430622,0.038944724,0.032950192,0.013143483,0.08852459,0,0,0.025680934,0.005628141,0.056378132,0.044094488,0.010954617,0.134796238,0,0,0.021996616,0.001864181,0.050904977,0.026925954,0.010909091,0.108490566,0,0.00242915,0.022727273,0.001210654,0.046487603
HOMELIVING,0.004066986,0.041876047,0.038314176,0.010952903,0.021311475,0.001473297,0.001958864,0.025680934,0.008643216,0.043849658,0.049606299,0.012519562,0.024033438,0.001773679,0.001814882,0.023688663,0.003462051,0.05938914,0.050860135,0.014545455,0.023584906,0.000679348,0.0048583,0.05861244,0.002017756,0.059917355
